,id,beta,Date,marketcap,type
2709,BTC,-0.2831160123346427,2019-07-19,185585177695.5,crypto
2710,BTC,-0.2852710048759235,2019-07-22,184522435295.0,crypto
2711,BTC,-0.2808747515370142,2019-07-23,178816514960.61002,crypto
2712,BTC,-0.2819816218001698,2019-07-24,172890832933.75,crypto
2713,BTC,-0.2869626516352695,2019-07-25,178611904751.59998,crypto
2714,BTC,-0.2896404314971085,2019-07-26,174415130503.68,crypto
2715,BTC,-0.2847511408511456,2019-07-29,169993264251.99997,crypto
2716,BTC,-0.2913209125345519,2019-07-30,170911609592.52,crypto
2717,BTC,-0.3130925166764851,2019-07-31,176965217199.5,crypto
2718,BTC,-0.3155573834852987,2019-08-01,181377727781.25,crypto
2719,BTC,-0.3049657087998287,2019-08-02,187060328216.00998,crypto
2720,BTC,-0.4417512157726859,2019-08-05,207958764925.84,crypto
2721,BTC,-0.4448691212086978,2019-08-06,209556677497.5,crypto
2722,BTC,-0.4437554524788212,2019-08-07,210447218937.25,crypto
2723,BTC,-0.4532714034476789,2019-08-08,210130009613.94,crypto
2724,BTC,-0.4574601859098379,2019-08-09,211331904117.74997,crypto
2725,BTC,-0.4372612383287138,2019-08-12,203508727646.44,crypto
2726,BTC,-0.4713700672189947,2019-08-13,196837437202.5,crypto
2727,BTC,-0.3755222317484527,2019-08-14,184991894298.08002,crypto
2728,BTC,-0.3763999597247775,2019-08-15,178497357957.0,crypto
2729,BTC,-0.3514981133059943,2019-08-16,182035821098.25,crypto
2730,BTC,-0.3459946082055803,2019-08-19,190621213139.25,crypto
2731,BTC,-0.345182124821183,2019-08-20,192283385218.25,crypto
2732,BTC,-0.3607027606362906,2019-08-21,181965092490.0,crypto
2733,BTC,-0.3679372033163415,2019-08-22,179014909180.24997,crypto
2734,BTC,-0.3900054699647747,2019-08-23,184810955169.96,crypto
2735,BTC,-0.3949092115964688,2019-08-26,186087487657.82,crypto
2736,BTC,-0.3909480915038685,2019-08-27,181965148664.32,crypto
2737,BTC,-0.4018018184528544,2019-08-28,176706473742.48,crypto
2738,BTC,-0.4086266820811304,2019-08-29,170129037629.00003,crypto
2739,BTC,-0.4127381593719416,2019-08-30,170765277902.25,crypto
2740,BTC,-0.4407060890989535,2019-09-03,189371093332.75,crypto
2741,BTC,-0.4484060945463641,2019-09-04,189382118546.32,crypto
2742,BTC,-0.4559214464124774,2019-09-05,189093976859.48,crypto
2743,BTC,-0.4569817064488335,2019-09-06,189566993136.75,crypto
2744,BTC,-0.4573519233519774,2019-09-09,184509900078.91,crypto
2745,BTC,-0.4567068571991535,2019-09-10,181885353921.99997,crypto
2746,BTC,-0.4582867139035377,2019-09-11,180291105429.75,crypto
2747,BTC,-0.4584291303584459,2019-09-12,184331285734.77,crypto
2748,BTC,-0.4559682989730013,2019-09-13,184693159610.49002,crypto
2749,BTC,-0.4565100488640453,2019-09-16,183338542002.0,crypto
2750,BTC,-0.4555059711982003,2019-09-17,183378543460.0,crypto
2751,BTC,-0.4530996569060319,2019-09-18,182781085756.5,crypto
2752,BTC,-0.4531893775837668,2019-09-19,178693894759.73,crypto
2753,BTC,-0.4525277976254022,2019-09-20,182530369747.74002,crypto
2754,BTC,-0.4476888852740616,2019-09-23,176435899691.16,crypto
2755,BTC,-0.4074347894915062,2019-09-24,159796279884.25,crypto
2756,BTC,-0.4119066095470418,2019-09-25,151710322096.08002,crypto
2757,BTC,-0.4096228851294161,2019-09-26,145173350980.5,crypto
2758,BTC,-0.4338295157149917,2019-09-27,144692448682.08002,crypto
2759,BTC,-0.4785930269721188,2019-09-30,145027542177.0,crypto
2760,BTC,-0.4796536693892472,2019-10-01,150459925586.5,crypto
2761,BTC,-0.4620468299065365,2019-10-02,148459163148.5,crypto
2762,BTC,-0.4780827856224702,2019-10-03,147619620385.5,crypto
2763,BTC,-0.4728808276447288,2019-10-04,146413390474.78,crypto
2764,BTC,-0.4808489280898383,2019-10-07,145518146976.24002,crypto
2765,BTC,-0.4706211188350255,2019-10-08,147573294462.0,crypto
2766,BTC,-0.4525555992859518,2019-10-09,151984515641.25,crypto
